Position (mm),Force (N),Strain (%),Time (min),Tensão (MPa),
0,1.67,0,0.00346,,
0.009,53.3,0.00133,0.00555,,
0.021,224,0.00517,0.01,,
0.0259,261,0.006,0.0145,,
0.03,295,0.00683,0.019,,
0.035,325,0.0075,0.0235,,
0.039,354,0.00811,0.0279,,
0.044,383,0.00867,0.0324,,
0.048,409,0.00917,0.0369,,
0.0524,434,0.0095,0.0414,,
0.057,457,0.00983,0.0458,,
0.0619,481,0.0103,0.0503,,
0.066,503,0.0107,0.0548,,
0.0703,527,0.0111,0.0593,,
0.075,548,0.0115,0.0637,,
0.079,562,0.0117,0.0682,,
0.084,562,0.0112,0.0727,,
0.0889,519,0.00918,0.0772,,
0.093,508,0.00817,0.0817,,
0.097,506,0.00754,0.0861,,
0.102,505,0.007,0.0906,,
0.106,503,0.00633,0.0951,,
0.111,500,0.00567,0.0996,,
0.115,498,0.00509,0.104,,
0.12,497,0.0045,0.109,,
0.124,507,0.00417,0.113,,
0.129,527,0.00433,0.117,,
0.133,545,0.00433,0.122,,
0.138,555,0.00417,0.126,,
0.142,558,0.00383,0.131,,
0.147,562,0.00334,0.135,,
0.151,565,0.003,0.14,,
0.155,568,0.0025,0.144,,
0.16,573,0.002,0.149,,
0.165,577,0.00152,0.153,,
0.169,578,0.001,0.158,,
0.173,582,0.0005,0.162,,
0.178,585,-8.84E-05,0.167,,
0.182,587,-0.000667,0.171,,
0.187,590,-0.00133,0.176,,
0.191,595,-0.00167,0.18,,
0.196,598,-0.00217,0.185,,
0.2,602,-0.00267,0.189,,
0.205,608,-0.00317,0.194,,
0.209,615,-0.0035,0.198,,
0.214,622,-0.00367,0.203,,
0.218,632,-0.00383,0.207,,
0.223,641,-0.00394,0.211,,
0.227,648,-0.004,0.216,,
0.232,658,-0.004,0.22,,
0.236,668,-0.00383,0.225,,
0.241,678,-0.00367,0.229,,
0.245,695,-0.00333,0.234,,
0.25,713,-0.00283,0.238,,
0.254,730,-0.00217,0.243,,
0.258,745,-0.0015,0.247,,
0.263,761,-0.001,0.252,,
0.268,777,-0.000352,0.256,,
0.272,790,2.30E-05,0.261,,
0.276,804,0.000667,0.265,,
0.281,818,0.001,0.27,,
0.285,831,0.00147,0.274,,
0.29,845,0.00183,0.279,,
0.294,858,0.00233,0.283,,
0.299,874,0.00267,0.288,,
0.303,890,0.00317,0.292,,
0.308,906,0.0035,0.297,,
0.312,922,0.004,0.301,,
0.317,935,0.00438,0.305,,
0.321,950,0.00483,0.31,,
0.326,965,0.00533,0.314,,
0.33,978,0.00567,0.319,,
0.335,992,0.006,0.323,,
