Position (mm);Force (N);Strain (%);Time (min)
0.00;1.67;0.000167;0.00405
0.0130;61.7;0.00150;0.00664
0.0257;41.7;0.000667;0.0116
0.0310;40.5;0.000500;0.0165
0.0360;41.7;0.000333;0.0214
0.0410;40.0;0.000228;0.0263
0.0460;40.0;0.000167;0.0313
0.0510;38.3;0.00;0.0362
0.0560;38.3;-0.000167;0.0411
0.0610;36.7;-0.000167;0.0461
0.0660;36.7;-0.000333;0.0510
0.0702;35.0;-0.000500;0.0559
0.0752;35.0;-0.000500;0.0608
0.0801;35.0;-0.000667;0.0658
0.0851;33.3;-0.000667;0.0707
0.0900;33.3;-0.000833;0.0756
0.0950;33.3;-0.000833;0.0806
0.100;33.3;-0.000833;0.0855
0.105;33.3;-0.000833;0.0904
0.110;33.3;-0.00100;0.0953
0.115;35.0;-0.00100;0.100
0.120;65.0;-0.000333;0.105
0.125;75.0;-4.84E-05;0.110
0.130;79.5;0.00;0.115
0.134;81.7;0.000167;0.120
0.140;85.0;0.000500;0.125
0.145;83.3;0.000667;0.130
0.149;85.0;0.000833;0.135
0.154;86.7;0.00117;0.140
0.159;90.0;0.00133;0.145
0.164;93.3;0.00167;0.150
0.169;117;0.00233;0.154
0.174;130;0.00287;0.159
0.179;140;0.00333;0.164
0.184;147;0.00367;0.169
0.189;155;0.00383;0.174
0.194;163;0.00417;0.179
0.199;170;0.00433;0.184
0.203;177;0.00450;0.189
0.209;183;0.00467;0.194
0.214;190;0.00483;0.199
0.218;195;0.00500;0.204
0.223;200;0.00517;0.209
0.228;205;0.00533;0.214
0.233;210;0.00550;0.219
0.238;215;0.00550;0.223
0.243;220;0.00567;0.228
0.248;225;0.00567;0.233
0.253;232;0.00583;0.238
0.258;238;0.00600;0.243
0.262;243;0.00610;0.248
0.267;252;0.00617;0.253
0.272;258;0.00633;0.258
0.277;265;0.00650;0.263
0.282;272;0.00667;0.268
0.287;280;0.00683;0.273
0.292;287;0.00700;0.278
0.297;295;0.00717;0.283
0.302;302;0.00733;0.288
0.307;310;0.00750;0.292
0.312;317;0.00767;0.297
0.317;325;0.00783;0.302
0.322;333;0.00800;0.307
0.327;340;0.00833;0.312
0.332;348;0.00847;0.317
0.337;356;0.00867;0.322
0.342;363;0.00883;0.327
0.347;371;0.00900;0.332
0.352;378;0.00927;0.337
0.356;384;0.00933;0.342
0.361;393;0.00950;0.347
0.366;402;0.00973;0.352
0.371;408;0.0100;0.357
0.376;417;0.0102;0.361
0.381;425;0.0103;0.366
0.386;433;0.0107;0.371
0.391;440;0.0108;0.376
0.396;448;0.0110;0.381
0.401;455;0.0113;0.386
0.406;463;0.0115;0.391
0.411;472;0.0118;0.396
0.415;480;0.0120;0.401
0.420;488;0.0123;0.406
0.425;497;0.0125;0.411
0.430;505;0.0127;0.416
0.435;514;0.0130;0.421
0.440;522;0.0132;0.426
0.445;530;0.0135;0.430
0.450;538;0.0137;0.435
0.455;547;0.0140;0.440
0.460;555;0.0142;0.445
0.465;563;0.0145;0.450
0.470;572;0.0147;0.455
0.475;581;0.0148;0.460
0.479;590;0.0152;0.465
0.484;598;0.0153;0.470
0.489;607;0.0155;0.475
0.494;617;0.0158;0.480
0.499;626;0.0161;0.485
0.504;635;0.0163;0.490
0.509;643;0.0165;0.495
0.514;653;0.0167;0.499
0.519;663;0.0170;0.504
0.524;672;0.0172;0.509
0.529;682;0.0173;0.514
0.534;690;0.0177;0.519
0.539;700;0.0178;0.524
0.544;710;0.0182;0.529
0.549;718;0.0183;0.534
0.554;728;0.0185;0.539
0.558;738;0.0188;0.544
0.563;748;0.0191;0.549
0.568;758;0.0193;0.554
0.573;768;0.0195;0.559
0.578;778;0.0198;0.564
0.583;788;0.0200;0.568
0.588;798;0.0203;0.573
0.593;808;0.0205;0.578
0.598;818;0.0208;0.583
0.603;828;0.0210;0.588
0.608;839;0.0213;0.593
0.613;849;0.0215;0.598
0.617;859;0.0218;0.603
0.622;870;0.0220;0.608
0.627;880;0.0223;0.613
0.632;891;0.0227;0.618
0.637;900;0.0228;0.623
0.642;912;0.0232;0.628
0.647;923;0.0233;0.633
0.652;933;0.0237;0.637
0.657;943;0.0240;0.642
0.662;953;0.0242;0.647
0.667;965;0.0245;0.652
0.672;977;0.0248;0.657
0.677;987;0.0252;0.662
0.682;998;0.0253;0.667
0.687;1010;0.0257;0.672
0.692;1020;0.0260;0.677
0.697;1030;0.0262;0.682
0.701;1040;0.0265;0.687
0.706;1050;0.0268;0.692
0.711;1070;0.0272;0.697
0.716;1080;0.0274;0.702
0.721;1090;0.0277;0.706
0.726;1100;0.0280;0.711
0.731;1110;0.0283;0.716
0.736;1120;0.0287;0.721
0.741;1130;0.0288;0.726
0.746;1140;0.0292;0.731
0.751;1160;0.0295;0.736
0.756;1170;0.0298;0.741
0.761;1180;0.0302;0.746
0.765;1190;0.0305;0.751
0.770;1200;0.0308;0.756
0.775;1220;0.0311;0.761
0.780;1230;0.0315;0.766
0.785;1240;0.0317;0.771
0.790;1250;0.0320;0.775
0.795;1260;0.0323;0.780
0.800;1280;0.0327;0.785
0.805;1290;0.0330;0.790
0.810;1300;0.0333;0.795
0.815;1310;0.0337;0.800
0.820;1330;0.0340;0.805
0.825;1340;0.0344;0.810
0.829;1350;0.0347;0.815
0.834;1370;0.0352;0.820
0.839;1380;0.0355;0.825
0.844;1390;0.0357;0.830
0.849;1400;0.0362;0.835
0.854;1420;0.0365;0.840
0.859;1430;0.0367;0.844
0.864;1440;0.0372;0.849
0.869;1460;0.0375;0.854
0.874;1470;0.0378;0.859
0.879;1480;0.0382;0.864
0.884;1490;0.0385;0.869
0.889;1510;0.0388;0.874
0.894;1520;0.0393;0.879
0.898;1530;0.0397;0.884
0.904;1550;0.0400;0.889
0.908;1560;0.0403;0.894
0.913;1580;0.0407;0.899
0.918;1590;0.0411;0.904
0.923;1600;0.0415;0.909
0.928;1610;0.0418;0.913
0.933;1630;0.0422;0.918
0.938;1640;0.0426;0.923
0.943;1650;0.0430;0.928
0.948;1670;0.0433;0.933
0.953;1680;0.0437;0.938
0.958;1700;0.0442;0.943
0.963;1710;0.0445;0.948
0.967;1720;0.0448;0.953
0.972;1740;0.0453;0.958
0.977;1750;0.0457;0.963
0.982;1760;0.0460;0.968
0.987;1780;0.0465;0.973
0.992;1790;0.0468;0.978
0.997;1810;0.0472;0.982
1.00;1820;0.0477;0.987
1.01;1830;0.0480;0.992
